NOMBRE,TELEFONO,CORREO,IDRESTAURANTE
"Benny Tschierse", "656-617-1854", "btschierse2b@unc.edu", 7
"Berny Creaser", "775-187-2206", "bcreaser2c@liveinternet.ru", 5
"Dalila Murcott", "460-415-5338", "dmurcott2d@usgs.gov", 1
"Deeanne Huggon", "538-336-0772", "dhuggon2e@wsj.com", 2
"Tomasine Meddings", "916-630-0732", "tmeddings2f@mail.ru", 6
"Ky Heigho", "801-284-7677", "kheigho2g@drupal.org", 5
"Adrianna O'Cooney", "969-885-6046", "aocooney2h@blogtalkradio.com", 7
"Gaston Planque", "605-435-4885", "gplanque2i@baidu.com", 3
"Nike Klosges", "422-113-9337", "nklosges2j@digg.com", 7
"Lammond Wanek", "553-850-9136", "lwanek2k@microsoft.com", 6
"Gaven Mellon", "322-996-3242", "gmellon2l@google.com.hk", 6
"Dari Taffrey", "621-618-9954", "dtaffrey2m@examiner.com", 1
"Ketti Bafford", "804-618-2717", "kbafford2n@wiley.com", 4
"Ekaterina Apthorpe", "304-812-7217", "eapthorpe2o@usatoday.com", 7
"Mersey Bauchop", "665-574-3091", "mbauchop2p@forbes.com", 10
"Lombard D'Oyley", "358-577-4933", "ldoyley2q@ovh.net", 9
"Natty Gatenby", "845-504-6526", "ngatenby2r@google.ru", 1
