NOMBRE,TELEFONO,CORREO,FECHA_ALTA,STATUS
"Renie", "287-265-8345", "rwhimpenny15@oracle.com", "2023-04-16 05:26:49", false
"Welch", "614-938-8159", "wspillard16@japanpost.jp", "2023-10-05 17:44:11", true
"Dorree", "838-255-6212", "ddomeney17@who.int", "2024-01-05 12:21:55", true
"Sharon", "181-660-8004", "sacton18@redcross.org", "2022-08-15 21:44:40", false
"Allx", "166-230-5333", "atoothill19@wp.com", "2022-08-28 21:56:45", false
"Stirling", "499-323-7336", "srubenczyk1a@tinyurl.com", "2023-10-25 18:08:27", false
"Addie", "973-535-0124", "arooze1b@w3.org", "2023-12-24 14:45:44", true
"Andrey", "886-392-8009", "awebben1c@woothemes.com", "2023-05-06 19:14:43", true
"Cyndia", "647-688-0128", "cbryan1d@wikimedia.org", "2023-10-01 05:27:23", true
"Alfonse", "413-437-9061", "averick1e@state.tx.us", "2024-02-18 01:23:20", false
"Lib", "845-646-8821", "lskene1f@prweb.com", "2022-11-19 03:17:45", true
"Stesha", "474-864-0240", "sremnant1g@bloglovin.com", "2022-09-18 06:58:36", true
"Darius", "597-164-6096", "dfidgin1h@ustream.tv", "2023-08-02 12:01:26", false
"Kit", "814-582-9009", "ksteptow1i@spiegel.de", "2024-01-02 02:50:10", true
"Shaylah", "264-892-6539", "skristoffersson1j@ameblo.jp", "2022-11-21 22:43:28", true
"Washington", "884-198-8404", "wkerin1k@scientificamerican.com", "2022-07-28 17:01:12", false
"Adi", "588-631-9408", "alegen1l@exblog.jp", "2023-11-27 22:57:47", false
"Waldo", "693-510-9224", "wkrzysztofiak1m@vimeo.com", "2023-12-18 09:26:18", true
"Babette", "814-821-0090", "bsurman1n@hexun.com", "2023-10-25 04:56:05", false
"Obediah", "142-417-2964", "otewkesbury1o@marriott.com", "2023-01-01 20:06:07", true
"Rosco", "833-774-8875", "rchantler1p@microsoft.com", "2022-11-07 10:17:21", true
"Desiri", "459-153-9267", "dkemmis1q@bandcamp.com", "2023-06-09 23:44:07", false
"Alfreda", "816-325-9682", "alaughren1r@joomla.org", "2023-11-16 23:49:00", false
"Zorina", "248-643-9420", "zcorter1s@kickstarter.com", "2023-02-11 16:18:39", true
"Tommi", "667-921-9397", "tadin1t@imgur.com", "2022-12-29 05:17:01", false
"Conrad", "530-864-1907", "crock1u@tumblr.com", "2023-08-03 03:17:11", true
"Daniele", "402-560-4693", "ddikle1v@indiegogo.com", "2023-09-14 13:56:22", true
"Mateo", "239-206-7675", "mknappett1w@nasa.gov", "2022-11-24 06:16:19", false
"Finn", "951-471-1595", "fgauntley1x@barnesandnoble.com", "2022-11-20 23:18:29", false
"Heather", "440-249-0486", "hrogge1y@macromedia.com", "2022-08-05 07:33:25", false
"Arnie", "826-271-1850", "agoodger1z@cornell.edu", "2024-03-25 09:47:04", false
"Marlie", "911-664-5866", "mmaylard20@hubpages.com", "2024-01-20 16:00:11", false
"Ronny", "515-715-9328", "rpinckstone21@elegantthemes.com", "2024-01-23 12:28:32", true
"Madelin", "169-872-7734", "mbretton22@cocolog-nifty.com", "2023-03-12 09:07:33", true
"Heather", "274-770-5455", "hahrenius23@topsy.com", "2023-12-18 12:00:18", true
"Billy", "571-951-2483", "bgudge24@apple.com", "2023-05-06 02:21:53", false
"Gilligan", "470-683-8412", "gmackeig25@amazon.co.jp", "2024-02-11 19:02:16", false
"Giovanni", "752-901-9806", "gkeen26@intel.com", "2023-10-24 15:02:38", true
"Karlik", "415-816-3504", "kludwig27@pbs.org", "2023-03-10 21:01:38", true
"Natalee", "469-417-8234", "ntimperley28@tmall.com", "2023-01-01 23:27:13", false
"Vergil", "408-478-6448", "vmixhel29@mit.edu", "2024-01-27 19:10:40", false
"Desiree", "541-981-3978", "dspofford2a@dagondesign.com", "2022-08-24 03:15:28", true
"Garrard", "894-193-2184", "gslym2b@sina.com.cn", "2023-02-05 18:58:04", false
"Georgia", "555-651-2277", "gcram2c@ebay.com", "2024-03-09 00:48:34", false
"Kalli", "375-178-3426", "kshilliday2d@networkadvertising.org", "2022-09-16 19:12:22", true
"Esta", "431-316-3059", "epayler2e@joomla.org", "2023-05-30 17:35:48", false
"Ollie", "150-286-4029", "ohealeas2f@addthis.com", "2023-03-19 17:20:02", true
"Zsa zsa", "985-478-0706", "ztiuit2g@icio.us", "2023-06-27 14:33:11", false
"Trula", "764-631-4058", "thaxley2h@parallels.com", "2023-02-03 22:08:22", false
"Elene", "701-302-5938", "egilhouley2i@huffingtonpost.com", "2023-12-29 16:24:03", false
"Andriette", "822-728-8981", "amatussow2j@illinois.edu", "2022-07-16 06:22:21", true
"Lyndel", "275-113-4909", "ldebruyne2k@google.ru", "2022-11-03 16:11:32", true
"Valentijn", "883-875-0850", "vmcgaw2l@seesaa.net", "2023-11-24 17:54:01", true
"Zabrina", "126-778-3227", "zlaver2m@flickr.com", "2024-03-05 21:21:30", true
"Kimmi", "354-843-4212", "kfeatenby2n@marriott.com", "2022-10-31 08:00:11", false
"Lanie", "784-900-8555", "lpaty2o@squarespace.com", "2023-05-31 07:01:08", true
"Evelyn", "119-776-3352", "enias2p@shinystat.com", "2022-11-13 19:06:43", false
"Barbra", "526-956-6146", "bdepinna2q@mozilla.com", "2023-12-07 02:59:06", false
"Berni", "602-565-3974", "bseager2r@newsvine.com", "2024-01-25 07:01:49", false
